,Unnamed: 0.1,Quantity/Units,Weight(Tons),Value(1000 SAR),Country Group,Commodity,Commodity Code
5,01012910,585,159,100164,Gulf Cooperation Council,HORSES FOR SPORT,01012910
6,01012910,19,4,2200,Other Arab League Countries,HORSES FOR SPORT,01012910
7,01029000,1134,114,1104,Gulf Cooperation Council,OTHER BOVINE ANIMALS,01029000
8,01041090,17373,655,9639,Other Arab League Countries,OTHER SHEEP,01041090
9,01042090,4020,112,1977,Other Arab League Countries,OTHER GOATS,01042090
10,01051100,3504288,221,15719,Gulf Cooperation Council,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
11,01051100,1928172,112,24188,Other Arab League Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
12,01059410,0,7,747,Gulf Cooperation Council,hens (for laying eggs),01059410
13,01059410,0,222,766,"African not Arabic,not Islamic",hens (for laying eggs),01059410
14,01061320,47120,7279,611523,Gulf Cooperation Council,Camels for sport and beauty contests,01061320
15,01063910,68056,41,833,Gulf Cooperation Council,"TAME AND WILD PIGEONS,PARTRIDGES,PHEASANTS,QUAIL,SNIPE,",01063910
16,02011000,0,653,2025,Other Arab League Countries,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
17,02011000,0,2180,6201,Islamic not Arabic countries,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
18,02011000,0,109,300,"African not Arabic,not Islamic",CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
19,02022000,0,54,673,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
20,02023010,0,377,2807,Gulf Cooperation Council,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02023010
21,02023010,0,475,1892,Other Arab League Countries,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02023010
22,02023090,0,3226,35937,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
23,02023090,0,269,2627,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
24,02023090,0,32,628,Islamic not Arabic countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
25,02023090,0,1585,19675,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
26,02023090,0,16,447,"African not Arabic,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
27,02023090,0,6,535,South America,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
28,02043000,0,110,1038,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",02043000
29,02044200,0,64,1283,"Asian not Arabic ,not Islamic","OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",02044200
30,02044310,0,472,2902,Gulf Cooperation Council,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02044310
31,02044310,0,158,626,Other Arab League Countries,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02044310
32,02044390,0,197,2387,Gulf Cooperation Council,"BONELESS SHEEP MEAT ,FROZEN    (3)",02044390
33,02044390,0,128,518,Other Arab League Countries,"BONELESS SHEEP MEAT ,FROZEN    (3)",02044390
34,02071100,0,9047,160968,Gulf Cooperation Council,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100
35,02071200,0,4334,49670,Gulf Cooperation Council,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
36,02071200,0,459,5763,Other Arab League Countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
37,02071200,0,181,1411,European Union,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
38,02071300,0,3598,71643,Gulf Cooperation Council,"Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
39,02071300,0,108,1691,Other Arab League Countries,"Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
40,02071300,0,306,620,"Asian not Arabic ,not Islamic","Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
41,02071400,0,1331,14181,Gulf Cooperation Council,"Cuts and offal, frozen(chikens)",02071400
42,02071400,0,352,3218,Other Arab League Countries,"Cuts and offal, frozen(chikens)",02071400
43,02071400,0,1745,3038,"Asian not Arabic ,not Islamic","Cuts and offal, frozen(chikens)",02071400
44,02072500,0,89,1926,Other Arab League Countries,"FROZEN UNCUT MEAT, CONSUM. BOWELS & EXTREM. OF TURKEY.",02072500
45,02072500,0,21,462,Islamic not Arabic countries,"FROZEN UNCUT MEAT, CONSUM. BOWELS & EXTREM. OF TURKEY.",02072500
46,02074500,0,45,740,Gulf Cooperation Council,"FROZEN MEAT, BWLS & EXTR. OF DUCKS/GEESE/SUD. CHICKEN.",02074500
47,02074500,0,20,337,Other Arab League Countries,"FROZEN MEAT, BWLS & EXTR. OF DUCKS/GEESE/SUD. CHICKEN.",02074500
48,02075500,0,50,417,Gulf Cooperation Council,"FROZEN MEAT, BWLS & EXTR. OF DUCKS/GEESE/SUD. CHICKEN.",02075500
49,02075500,0,390,409,"Asian not Arabic ,not Islamic","FROZEN MEAT, BWLS & EXTR. OF DUCKS/GEESE/SUD. CHICKEN.",02075500
50,02089031,0,33,646,Gulf Cooperation Council,FRESH OR CHILLED PIGEON OR SIMILAR MEAT,02089031
51,02089032,0,218,4465,Gulf Cooperation Council,FROZEN PIGEON OR SIMILAR MEAT,02089032
52,02089099,0,30,653,Gulf Cooperation Council,Other meat and bowels pigon orsimiler ( fresh or frozen),02089099
53,02109900,0,293,670,Other Arab League Countries,Flour and Other Powders Suitable For Eating Meat or From The Bow,02109900
54,03021900,0,5725,12317,Gulf Cooperation Council,OTHER FRESH SALMONIDAE,03021900
55,03021900,0,45,1335,Other Arab League Countries,OTHER FRESH SALMONIDAE,03021900
56,03022900,0,7070,21098,Gulf Cooperation Council,OTHER FRESH FLAT FISH,03022900
57,03024420,0,4980,6638,Gulf Cooperation Council,INDIAN MACKEREL (RASTRELLIGER KANAGURTA),03024420
58,03024700,0,120,568,Gulf Cooperation Council,Swordfish (Xiphias gladius),03024700
59,03028500,0,344,6400,Other Arab League Countries,SHAOMIAT (3)   NAFAKRAK HSAHAN MMAHS(ITEBUS) EKIL(MERB),03028500
60,03028950,0,347,1693,Gulf Cooperation Council,"FISH BOORI LIKE (HAYIB,DEEM) (3)",03028950
61,03031900,0,70,568,Gulf Cooperation Council,OTHER SALMON (FROZEN),03031900
62,03032500,0,32,638,Other Arab League Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03032500
63,03033900,0,2871,6343,Gulf Cooperation Council,OTHER FROZEN FLAT FISH,03033900
64,03035420,0,1862,8432,Islamic not Arabic countries,INDIAN MACKEREL (RASTRELLIGER KANAGURTA) FROZEN,03035420
65,03035490,0,135,1603,Other Arab League Countries,OTER FISH MACRELFROZEN,03035490
66,03038400,0,162,745,"Asian not Arabic ,not Islamic","SEA BASS, FROZEN",03038400
67,03043900,0,498,5693,Other Arab League Countries,Other slices of fish Groupers Or Emperors fresh or chilled,03043900
68,03043900,0,202,2448,"Asian not Arabic ,not Islamic",Other slices of fish Groupers Or Emperors fresh or chilled,03043900
69,03043900,0,16,399,Australia and Oceania,Other slices of fish Groupers Or Emperors fresh or chilled,03043900
70,03044900,0,68,1069,Other Arab League Countries,Other slices of fish Groupers Or Emperors fresh or chilled,03044900
71,03045990,0,63,1545,Gulf Cooperation Council,Other slices of fish Groupers Or Emperors fresh or chilled,03045990
72,03046300,0,75,852,Gulf Cooperation Council,"Other Slices  of Groupers Or Emperors, frozen",03046300
73,03046900,0,21,421,Gulf Cooperation Council,"Other Slices  of Groupers Or Emperors, frozen",03046900
74,03046900,0,57,1080,Other Arab League Countries,"Other Slices  of Groupers Or Emperors, frozen",03046900
75,03046900,0,123,1525,Islamic not Arabic countries,"Other Slices  of Groupers Or Emperors, frozen",03046900
76,03046900,0,46,1215,North America,"Other Slices  of Groupers Or Emperors, frozen",03046900
77,03054400,0,134,1411,Gulf Cooperation Council,OTHER SMOKED FISH,03054400
78,03054400,0,735,10816,Other Arab League Countries,OTHER SMOKED FISH,03054400
79,03061600,0,665,1279,Gulf Cooperation Council,"SHRIMPS AND PRAWNS, FROZEN",03061600
80,03061600,0,53,443,Other Arab League Countries,"SHRIMPS AND PRAWNS, FROZEN",03061600
81,03061700,0,3113,9429,Gulf Cooperation Council,"SHRIMPS AND PRAWNS, FROZEN",03061700
82,03061700,0,446,11409,Other Arab League Countries,"SHRIMPS AND PRAWNS, FROZEN",03061700
83,03061700,0,304,5737,Islamic not Arabic countries,"SHRIMPS AND PRAWNS, FROZEN",03061700
84,03061700,0,5523,154773,"Asian not Arabic ,not Islamic","SHRIMPS AND PRAWNS, FROZEN",03061700
85,03061700,0,333,7879,European Union,"SHRIMPS AND PRAWNS, FROZEN",03061700
86,03062700,0,78,1645,Gulf Cooperation Council,SHRIMPS AND PRAWNS,03062700
87,03074100,0,408,828,Gulf Cooperation Council,"LIVE, FRESH OR CHILLED CUTTLE FISH",03074100
88,03074100,0,300,3363,"Asian not Arabic ,not Islamic","LIVE, FRESH OR CHILLED CUTTLE FISH",03074100
89,03074900,0,54,608,"Asian not Arabic ,not Islamic",OTHER CUTTLE FISH,03074900
90,04011030,0,25499,105351,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
91,04011030,0,23477,78685,Other Arab League Countries,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
92,04011030,0,2576,9403,"African not Arabic,not Islamic",LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
93,04011090,0,8161,48173,Gulf Cooperation Council,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
94,04011090,0,4551,17795,Other Arab League Countries,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
95,04012030,0,28248,136982,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
96,04012030,0,4600,8417,Other Arab League Countries,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
97,04012090,0,32338,167374,Gulf Cooperation Council,"OTHER TYPES OF LONG LIFE MILK IN REF > 1 LITER, FAT 6%.",04012090
98,04012090,0,24404,89123,Other Arab League Countries,"OTHER TYPES OF LONG LIFE MILK IN REF > 1 LITER, FAT 6%.",04012090
99,04014030,0,6509,24746,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04014030
100,04014090,0,34576,121490,Gulf Cooperation Council,OTHER MILK AND CREAM FAT MORE THAN 6%.,04014090
101,04014090,0,330,2058,Other Arab League Countries,OTHER MILK AND CREAM FAT MORE THAN 6%.,04014090
102,04015030,0,65,486,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04015030
103,04015030,0,1161,4309,Other Arab League Countries,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04015030
104,04015090,0,1314,9779,Gulf Cooperation Council,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
105,04015090,0,4977,11752,Other Arab League Countries,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
106,04015090,0,248,738,Islamic not Arabic countries,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
107,04015090,0,130,786,"African not Arabic,not Islamic",OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
108,04021010,0,131,1905,Gulf Cooperation Council,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
109,04021010,0,650,9855,Islamic not Arabic countries,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
110,04021010,0,867,13123,"Asian not Arabic ,not Islamic",SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
111,04021010,0,39,425,"African not Arabic,not Islamic",SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
112,04021090,0,9235,157945,Gulf Cooperation Council,OTHER LOW FAT SOLID MILK,04021090
113,04021090,0,5923,53670,Other Arab League Countries,OTHER LOW FAT SOLID MILK,04021090
114,04021090,0,99,638,Islamic not Arabic countries,OTHER LOW FAT SOLID MILK,04021090
115,04021090,0,222,3400,"Asian not Arabic ,not Islamic",OTHER LOW FAT SOLID MILK,04021090
116,04021090,0,751,4064,"African not Arabic,not Islamic",OTHER LOW FAT SOLID MILK,04021090
117,04022110,0,19,499,Gulf Cooperation Council,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
118,04022110,0,1667,33004,Other Arab League Countries,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
119,04022110,0,47,908,Islamic not Arabic countries,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
120,04022110,0,25,771,"Asian not Arabic ,not Islamic","SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
121,04022190,0,2054,53089,Gulf Cooperation Council,"OTHER SOLID UNSWEETENED MILK, OVER 1% FAT",04022190
122,04022190,0,2766,32833,Other Arab League Countries,"OTHER SOLID UNSWEETENED MILK, OVER 1% FAT",04022190
123,04022910,0,3518,13149,Other Arab League Countries,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
124,04022910,0,3222,16637,Islamic not Arabic countries,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
125,04022910,0,107,421,"Asian not Arabic ,not Islamic","SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
126,04022910,0,2615,10904,"African not Arabic,not Islamic","SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
127,04022910,0,441,1948,South America,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
128,04022990,0,204,3325,Gulf Cooperation Council,OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
129,04022990,0,778,15046,Other Arab League Countries,OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
130,04022990,0,134,419,Islamic not Arabic countries,OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
131,04022990,0,91,1382,"African not Arabic,not Islamic",OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
132,04029110,0,12635,25867,Gulf Cooperation Council,"OTHER MILK, UNSWEETENED",04029110
133,04029110,0,15652,62602,Other Arab League Countries,"OTHER MILK, UNSWEETENED",04029110
134,04029110,0,122,835,Islamic not Arabic countries,"OTHER MILK, UNSWEETENED",04029110
135,04029110,0,1989,6498,"African not Arabic,not Islamic","OTHER MILK, UNSWEETENED",04029110
136,04029120,0,1335,17036,Gulf Cooperation Council,"OTHER CREAM, UNSWEETENED",04029120
137,04029120,0,4020,33260,Other Arab League Countries,"OTHER CREAM, UNSWEETENED",04029120
138,04029910,0,91621,222675,Gulf Cooperation Council,"OTHER MILK, SWEETENED",04029910
139,04029910,0,5731,17845,Other Arab League Countries,"OTHER MILK, SWEETENED",04029910
140,04029910,0,56,310,Islamic not Arabic countries,"OTHER MILK, SWEETENED",04029910
141,04029920,0,557,6898,Gulf Cooperation Council,"OTHER CREAM, SWEETENED",04029920
142,04029920,0,2737,23963,Other Arab League Countries,"OTHER CREAM, SWEETENED",04029920
143,04031000,0,137723,650860,Gulf Cooperation Council,YOGURT,04031000
144,04031000,0,1855,11560,Other Arab League Countries,YOGURT,04031000
145,04039010,0,1550,16420,Gulf Cooperation Council,LABNAH,04039010
146,04039010,0,234,1523,Other Arab League Countries,LABNAH,04039010
147,04039020,0,1173,6934,Gulf Cooperation Council,LABAN,04039020
148,04039020,0,376,1335,Other Arab League Countries,LABAN,04039020
149,04039090,0,11217,108043,Gulf Cooperation Council,OTHER MILK AND CREAM,04039090
150,04039090,0,6860,32542,Other Arab League Countries,OTHER MILK AND CREAM,04039090
151,04049000,0,987,3679,Gulf Cooperation Council,OTHER WHEY,04049000
152,04051000,0,1750,27947,Gulf Cooperation Council,BUTTER,04051000
153,04051000,0,507,6837,Other Arab League Countries,BUTTER,04051000
154,04052000,0,45,1092,Other Arab League Countries,DAIRY SPREADS,04052000
155,04052000,0,34,450,Islamic not Arabic countries,DAIRY SPREADS,04052000
156,04052000,0,41,814,"Asian not Arabic ,not Islamic",DAIRY SPREADS,04052000
157,04059000,0,776,12351,Gulf Cooperation Council,GREASY MATERIALS DERIVED FROM MILK,04059000
158,04059000,0,321,6564,Other Arab League Countries,GREASY MATERIALS DERIVED FROM MILK,04059000
159,04061000,0,3357,69398,Gulf Cooperation Council,FRESH CHEESE AND CURD,04061000
160,04061000,0,850,8006,Other Arab League Countries,FRESH CHEESE AND CURD,04061000
161,04062000,0,3958,81965,Gulf Cooperation Council,GRATED OR POWDERED CHEESE,04062000
162,04062000,0,440,9661,Other Arab League Countries,GRATED OR POWDERED CHEESE,04062000
163,04063000,0,1474,24127,Gulf Cooperation Council,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
164,04063000,0,5908,109929,Other Arab League Countries,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
165,04063000,0,230,3087,Islamic not Arabic countries,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
166,04063000,0,234,2783,"Asian not Arabic ,not Islamic","PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
167,04063000,0,19,494,"African not Arabic,not Islamic","PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
168,04063000,0,22,561,North America,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
169,04069010,0,4116,78980,Other Arab League Countries,FRESH FERMENTED CREAM CHEESE,04069010
170,04069020,0,1896,39911,Gulf Cooperation Council,SOLID OR SEMI-SOLID CHEESE,04069020
171,04069020,0,1173,20386,Other Arab League Countries,SOLID OR SEMI-SOLID CHEESE,04069020
172,04069020,0,18,383,Islamic not Arabic countries,SOLID OR SEMI-SOLID CHEESE,04069020
173,04069020,0,78,1320,"Asian not Arabic ,not Islamic",SOLID OR SEMI-SOLID CHEESE,04069020
174,04069090,0,86188,704341,Gulf Cooperation Council,OTHER CHEESE,04069090
175,04069090,0,7549,100989,Other Arab League Countries,OTHER CHEESE,04069090
176,04069090,0,130,1516,Islamic not Arabic countries,OTHER CHEESE,04069090
177,04071100,0,256,5930,Gulf Cooperation Council,Fresh eggs for hatching of fowls of the species Gallus domesticus,04071100
178,04071900,0,425,4268,Gulf Cooperation Council,OTHER FRESH BIRDS EGGS FOR HATCHING,04071900
179,04072100,0,39052,231139,Gulf Cooperation Council,Fresh eggs of fowls of the species Gallus domesticus,04072100
180,04072100,0,1926,4275,Other Arab League Countries,Fresh eggs of fowls of the species Gallus domesticus,04072100
181,04072900,0,2593,16190,Gulf Cooperation Council,OTHER FRESH BIRDS EGGS,04072900
182,04079000,0,1845,11066,Gulf Cooperation Council,OTHER EGGS IN SHELLS,04079000
183,04081900,0,8146,48266,Gulf Cooperation Council,OTHER EGG YOLKS,04081900
184,04089900,0,1716,10257,Gulf Cooperation Council,OTHER PARTS OF EGGS,04089900
185,04090000,0,1792,57784,Gulf Cooperation Council,NATURAL HONEY,04090000
186,04090000,0,2144,54427,Other Arab League Countries,NATURAL HONEY,04090000
187,04090000,0,855,20346,Islamic not Arabic countries,NATURAL HONEY,04090000
188,04090000,0,49,1075,"Asian not Arabic ,not Islamic",NATURAL HONEY,04090000
189,04090000,0,29,359,"African not Arabic,not Islamic",NATURAL HONEY,04090000
190,04090000,0,61,1707,North America,NATURAL HONEY,04090000
191,04090000,0,41,353,European Union,NATURAL HONEY,04090000
192,05040010,0,325,2316,Other Arab League Countries,GUTS OF ANIMALS,05040010
193,06022010,13389,7347,5753,Gulf Cooperation Council,PALM TREE SEEDLINGS,06022010
194,06022010,11500,6,975,Other Arab League Countries,PALM TREE SEEDLINGS,06022010
195,06022090,0,125,390,Gulf Cooperation Council,OTHER EDIBLE FRUIT TREES OR BUSHES,06022090
196,07011000,0,127,411,Other Arab League Countries,FRESH POTATO SEED,07011000
197,07020000,0,6303,7912,Gulf Cooperation Council,"TOMATOES, FRESH OR CHILLED",07020000
198,07020000,0,141,397,Other Arab League Countries,"TOMATOES, FRESH OR CHILLED",07020000
199,07032000,0,318,786,Gulf Cooperation Council,"GARLIC, FRESH",07032000
200,07032000,0,445,938,Other Arab League Countries,"GARLIC, FRESH",07032000
201,07041000,0,7013,7908,Gulf Cooperation Council,"CAULIFLOWERS AND HEADED BROCCOLI, FRESH",07041000
202,07042000,0,7501,8279,Gulf Cooperation Council,"BRUSSELS SPROUTS, FRESH",07042000
203,07049000,0,5448,7405,Gulf Cooperation Council,"OTHER EDIBLE BRASSICAS, FRESH",07049000
204,07051100,0,1380,3817,Gulf Cooperation Council,"CABBAGE LETTUCE (HEAD LETTUCE), FRESH",07051100
205,07051900,0,9906,11670,Gulf Cooperation Council,"OTHER LETTUCE, FRESH",07051900
206,07052900,0,6220,11347,Gulf Cooperation Council,"OTHER CHICORY, FRESH",07052900
207,07061000,0,3245,3464,Gulf Cooperation Council,"CARROTS AND TURNIPS, FRESH",07061000
208,07070000,0,7558,8076,Gulf Cooperation Council,"CUCUMBERS AND GHERKINS, FRESH",07070000
209,07070000,0,532,568,Other Arab League Countries,"CUCUMBERS AND GHERKINS, FRESH",07070000
210,07081000,0,154,408,Other Arab League Countries,"PEAS, FRESH",07081000
211,07082000,0,4021,4504,Gulf Cooperation Council,"BEANS, FRESH",07082000
212,07082000,0,441,1056,Other Arab League Countries,"BEANS, FRESH",07082000
213,07089010,0,1392,2147,Gulf Cooperation Council,"KIDNEY BEANS, FRESH",07089010
214,07089010,0,3481,6517,Other Arab League Countries,"KIDNEY BEANS, FRESH",07089010
215,07089090,0,33405,32552,Gulf Cooperation Council,"OTHER LEGUMINOUS VEGETABLES, FRESH",07089090
216,07093000,0,7339,7988,Gulf Cooperation Council,"AUBERGINES (EGG-PLANTS), FRESH",07093000
217,07093000,0,319,336,Other Arab League Countries,"AUBERGINES (EGG-PLANTS), FRESH",07093000
218,07095100,0,74,1456,Gulf Cooperation Council,"MUSHROOMS, FRESH",07095100
219,07095100,0,14,303,Islamic not Arabic countries,"MUSHROOMS, FRESH",07095100
220,07095910,0,5,715,Gulf Cooperation Council,Truffles,07095910
221,07095990,0,22250,24038,Gulf Cooperation Council,"Other Vegetables, Fresh Or Chilled",07095990
222,07096000,0,1262,1444,Gulf Cooperation Council,"FRUITS OF THE GENUS CAPSICUM OR PIMENTA, FRESH",07096000
223,07096000,0,161,802,Other Arab League Countries,"FRUITS OF THE GENUS CAPSICUM OR PIMENTA, FRESH",07096000
224,07099910,0,1406,1559,Gulf Cooperation Council,"MARROW, FRESH",07099910
225,07099920,0,585,1410,Gulf Cooperation Council,"OKRA, FRESH",07099920
226,07099930,0,5093,9182,Gulf Cooperation Council,"PARSLEY, FRESH",07099930
227,07099940,0,3865,4313,Gulf Cooperation Council,"CORIANDER, FRESH",07099940
228,07099990,0,567,705,Gulf Cooperation Council,"OTHER VEGETABLES, FRESH",07099990
229,07101000,0,196,650,Gulf Cooperation Council,"POTATOES, FROZEN",07101000
230,07102100,0,252,758,Gulf Cooperation Council,"PEAS, FROZEN",07102100
231,07102200,0,220,529,Other Arab League Countries,"BEANS, FROZEN",07102200
232,07102900,0,324,1880,Gulf Cooperation Council,OTHER FROZEN LEGUMINOUS VEGETABLES,07102900
233,07104000,0,1552,2073,Gulf Cooperation Council,"SWEET CORN, FROZEN",07104000
234,07104000,0,146,342,Other Arab League Countries,"SWEET CORN, FROZEN",07104000
235,07108000,0,131,515,Gulf Cooperation Council,"OTHER VEGETABLES, FROZEN",07108000
236,07115100,0,84,1471,Gulf Cooperation Council,AGAREKOS MUSHROOM,07115100
237,07115900,0,308,5229,Gulf Cooperation Council,OTHER VEGETABLES PRESERVED,07115900
238,07122000,0,354,602,Other Arab League Countries,"ONIONS, DRIED",07122000
239,07132000,0,594,2079,Gulf Cooperation Council,"CHICKPEAS, DRIED",07132000
240,07132000,0,2193,3317,Other Arab League Countries,"CHICKPEAS, DRIED",07132000
241,07133900,0,639,2384,Gulf Cooperation Council,"OTHER BEANS, DRIED",07133900
242,07134000,0,203,552,Other Arab League Countries,"LENTILS, DRIED",07134000
243,07139090,0,210,776,Gulf Cooperation Council,OTHER DRIED LEGUMINOUS VEGETABLES,07139090
244,07149090,0,13873,16126,Gulf Cooperation Council,OTHER ROOTS AND TUBERS,07149090
245,08013100,0,15,393,"Asian not Arabic ,not Islamic",CASHEW NUTS WITH SHELL,08013100
246,08013200,0,28,427,Gulf Cooperation Council,CASHEW NUTS WITHOUT SHELL,08013200
247,08013200,0,17,409,"Asian not Arabic ,not Islamic",CASHEW NUTS WITHOUT SHELL,08013200
248,08021200,0,247,4778,Gulf Cooperation Council,ALMONDS SHELLED,08021200
249,08023200,0,49,926,Gulf Cooperation Council,"WALNUTS, SHELLED",08023200
250,08023200,0,10,766,Other Arab League Countries,"WALNUTS, SHELLED",08023200
251,08025100,0,285,3803,Gulf Cooperation Council,PISTACHIOS IN SHELLS,08025100
252,08025100,0,10,758,Other Arab League Countries,PISTACHIOS IN SHELLS,08025100
253,08025200,0,87,1332,Gulf Cooperation Council,"PISTACHIOS, SHELLED",08025200
254,08025200,0,10,600,Other Arab League Countries,"PISTACHIOS, SHELLED",08025200
255,08031000,0,1015,3397,Gulf Cooperation Council,"BANANAS, INCLUDING PLANTAINS",08031000
256,08031000,0,422,734,Other Arab League Countries,"BANANAS, INCLUDING PLANTAINS",08031000
257,08039000,0,1893,4479,Gulf Cooperation Council,"BANANAS, INCLUDING PLANTAINS",08039000
258,08039000,0,4276,7764,Other Arab League Countries,"BANANAS, INCLUDING PLANTAINS",08039000
259,08041010,0,1806,12081,Gulf Cooperation Council,FRESH DATES,08041010
260,08041010,0,21194,62780,Other Arab League Countries,FRESH DATES,08041010
261,08041010,0,15199,66230,Islamic not Arabic countries,FRESH DATES,08041010
262,08041010,0,3112,10893,"Asian not Arabic ,not Islamic",FRESH DATES,08041010
263,08041010,0,1379,7639,"African not Arabic,not Islamic",FRESH DATES,08041010
264,08041010,0,54,612,Australia and Oceania,FRESH DATES,08041010
265,08041010,0,442,4812,North America,FRESH DATES,08041010
266,08041010,0,1155,11376,European Union,FRESH DATES,08041010
267,08041021,0,7663,44377,Gulf Cooperation Council,STORED DATES,08041021
268,08041021,0,21452,45329,Other Arab League Countries,STORED DATES,08041021
269,08041021,0,112,925,European Union,STORED DATES,08041021
270,08041029,0,19510,101184,Gulf Cooperation Council,OTHER DATES,08041029
271,08041029,0,34568,107641,Other Arab League Countries,OTHER DATES,08041029
272,08041029,0,6109,9814,Islamic not Arabic countries,OTHER DATES,08041029
273,08041029,0,701,1952,"Asian not Arabic ,not Islamic",OTHER DATES,08041029
274,08041029,0,699,2017,"African not Arabic,not Islamic",OTHER DATES,08041029
275,08041029,0,553,3835,North America,OTHER DATES,08041029
276,08041029,0,640,3597,European Union,OTHER DATES,08041029
277,08042010,0,271,399,Gulf Cooperation Council,FRESH FIGS,08042010
278,08043000,0,986,2424,Gulf Cooperation Council,PINEAPPLES,08043000
279,08043000,0,442,1279,Other Arab League Countries,PINEAPPLES,08043000
280,08045020,0,1780,4095,Gulf Cooperation Council,MANGOES,08045020
281,08051000,0,4382,7652,Gulf Cooperation Council,ORANGES,08051000
